temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0007.925;4344;5571
0007.940;4344;5507
0007.948;4344;5535
0007.958;4344;5507
0007.968;4344;5564
0007.978;4344;5528
0007.989;4344;5557
0007.997;4344;5578
0008.007;4344;5542
0008.017;4344;5514
0008.028;4344;5478
0008.038;4344;5535
0008.048;4344;5478
0008.058;4344;5478
0008.075;4344;5535
0008.087;4344;5592
0008.097;4344;5592
0008.108;4344;5649
0008.118;4344;5649
0008.128;4344;5649
0008.139;4344;5771
0008.147;4344;5664
0008.157;4344;5642
0008.167;4344;5642
0008.177;4344;5585
0008.188;4344;5699
0008.198;4344;5564
0008.208;4344;5649
0008.225;4344;5621
0008.237;4344;5550
0008.247;4344;5607
0008.258;4344;5550
0008.268;4344;5550
0008.278;4344;5607
0008.294;4344;5550
0008.307;4344;5607
0008.317;4344;5607
0008.327;4344;5692
0008.340;4344;5585
0008.348;4344;5671
0008.358;4344;5585
0008.366;4344;5585
0008.376;4344;5671
0008.387;4344;5585
0008.397;4344;5614
0008.407;4344;5585
0008.417;4344;5614
0008.428;4344;5528
0008.438;4344;5550
0008.446;4344;5492
0008.456;4344;5621
0008.467;4344;5478
0008.477;4344;5535
0008.487;4344;5535
0008.497;4344;5535
0008.508;4344;5557
0008.518;4344;5500
0008.526;4344;5471
0008.536;4344;5564
0008.547;4344;5621
0008.557;4344;5621
0008.567;4344;5649
0008.577;4344;5656
0008.588;4344;5692
0008.596;4344;5642
0008.606;4344;5649
0008.616;4344;5664
0008.627;4344;5721
0008.637;4344;5699
0008.649;4344;5564
0008.660;4344;5678
0008.666;4344;5678
0008.676;4344;5621
0008.686;4344;5678
0008.697;4344;5564
0008.707;4344;5564
0008.717;4344;5564
0008.733;4344;5621
0008.754;4344;5564
0008.766;4344;5507
0008.776;4344;5564
0008.787;4344;5564
0008.797;4344;5507
0008.807;4344;5642
0008.816;4344;5642
0008.826;4344;5642
0008.836;4344;5642
0008.847;4344;5528
0008.857;4344;5642
0008.873;4344;5585
0008.894;4344;5443
0008.906;4344;5492
0008.918;4344;5535
0008.927;4344;5535
0008.937;4344;5500
0008.947;4344;5464
0008.957;4344;5457
0008.966;4344;5421
0008.976;4344;5578
0008.986;4344;5642
0008.996;4344;5656
0009.013;4344;5635
0009.033;4344;5671
0009.046;4344;5621
0009.056;4344;5649
0009.066;4344;5621
0009.076;4344;5685
0009.086;4344;5550
0009.097;4344;5464
0009.107;4344;5628
0009.115;4344;5571
0009.125;4344;5542
0009.136;4344;5485
0009.146;4344;5485
0009.156;4344;5628
0009.166;4344;5485
0009.177;4344;5628
0009.187;4344;5685
0009.195;4344;5607
0009.205;4344;5607
0009.216;4344;5521
0009.228;4344;5607
0009.236;4344;5749
0009.246;4344;5642
0009.259;4344;5678
0009.267;4344;5621
0009.277;4344;5621
0009.285;4344;5621
0009.296;4344;5564
0009.306;4344;5621
0009.316;4344;5507
0009.327;4344;5564
0009.335;4344;5450
0009.345;4344;5607
0009.355;4344;5550
0009.366;4344;5435
0009.378;4344;5628
0009.386;4344;5571
0009.396;4344;5628
0009.406;4344;5628
0009.415;4344;5628
0009.425;4344;5492
0009.435;4344;5550
0009.445;4344;5607
0009.456;4344;5664
0009.466;4344;5550
0009.476;4344;5749
0009.486;4344;5642
0009.495;4344;5528
0009.505;4344;5492
0009.515;4344;5550
0009.525;4344;5492
0009.536;4344;5607
0009.546;4344;5492
0009.556;4344;5492
0009.564;4344;5607
0009.579;4344;5542
0009.587;4344;5628
0009.595;4344;5664
0009.665;4344;5642
0009.675;4344;5528
0009.685;4344;5664
0009.696;4344;5664
0009.706;4344;5550
0009.714;4344;5607
0009.724;4344;5550
0009.735;4344;5550
0009.745;4344;5607
0009.753;4344;5492
0009.765;4344;5621
0009.776;4344;5649
0009.792;4344;5649
0009.806;4344;5649
0009.814;4344;5649
0009.825;4344;5628
0009.835;4344;5514
0009.845;4344;5685
0009.856;4344;5550
0009.866;4344;5492
0009.876;4344;5607
0009.886;4344;5607
0009.894;4344;5550
0009.905;4344;5607
0009.917;4344;5571
0009.925;4344;5571
0009.936;4344;5457
0009.944;4344;5535
0009.956;4344;5592
0009.964;4344;5535
0009.974;4344;5450
0009.985;4344;5585
0009.995;4344;5557
0010.005;4344;5614
0010.022;4344;5614
0010.034;4344;5728
0010.049;4344;5592
0010.065;4344;5649
0010.075;4344;5592
0010.085;4344;5542
0010.093;4344;5542
0010.104;4344;5571
0010.114;4344;5607
0010.124;4344;5550
0010.134;4344;5550
0010.145;4344;5571
0010.155;4344;5542
0010.171;4344;5550
0010.184;4344;5664
0010.194;4344;5678
0010.204;4344;5621
0010.217;4344;5564
0010.225;4344;5678
0010.241;4344;5621
0010.253;4344;5621
0010.264;4344;5621
0010.274;4344;5507
0010.284;4344;5706
0010.295;4344;5599
0010.305;4344;5607
0010.313;4344;5607
0010.323;4344;5607
0010.333;4344;5550
0010.344;4344;5550
0010.354;4344;5514
0010.364;4344;5507
0010.374;4344;5592
0010.385;4344;5535
0010.393;4344;5507
0010.403;4344;5471
0010.413;4344;5635
0010.424;4344;5607
0010.434;4344;5492
0010.444;4344;5607
0010.455;4344;5607
0010.463;4344;5664
0010.475;4344;5550
0010.485;4344;5642
0010.493;4344;5642
0010.504;4344;5585
0010.514;4344;5528
0010.524;4344;5585
0010.535;4344;5671
0010.545;4344;5614
0010.553;4344;5585
0010.565;4344;5614
0010.576;4344;5614
0010.584;4344;5585
0010.596;4344;5671
0010.604;4344;5585
0010.621;4344;5585
0010.633;4344;5585
0010.643;4344;5585
0010.653;4344;5492
0010.664;4344;5492
0010.674;4344;5435
0010.686;4344;5628
0010.692;4344;5571
0010.703;4344;5571
0010.713;4344;5571
0010.729;4344;5478
0010.760;4344;5535
0010.773;4344;5649
0010.808;4344;5514
0010.824;4344;5571
0010.832;4344;5571
0010.843;4344;5514
0010.853;4344;5514
0010.863;4344;5571
0010.875;4344;5571
0010.886;4344;5628
0010.894;4344;5628
0010.902;4344;5571
0010.912;4344;5628
0010.923;4344;5571
0010.933;4344;5607
0010.943;4344;5607
0010.953;4344;5607
0010.964;4344;5607
0010.972;4344;5492
0010.984;4344;5550
0010.993;4344;5550
0011.003;4344;5428
0011.013;4344;5628
0011.025;4344;5535
0011.033;4344;5592
0011.050;4344;5649
0011.062;4344;5628
0011.075;4344;5628
0011.083;4344;5628
0011.093;4344;5592
0011.103;4344;5621
0011.113;4344;5628
0011.124;4344;5607
0011.132;4344;5607
0011.142;4344;5607
0011.153;4344;5550
0011.163;4344;5607
0011.173;4344;5550
0011.183;4344;5521
0011.193;4344;5607
0011.202;4344;5607
0011.212;4344;5607
0011.222;4344;5607
0011.232;4344;5492
0011.243;4344;5628
0011.253;4344;5485
0011.263;4344;5485
0011.271;4344;5485
0011.282;4344;5485
0011.292;4344;5628
0011.302;4344;5535
0011.313;4344;5592
0011.323;4344;5592
0011.333;4344;5685
0011.341;4344;5721
0011.352;4344;5678
0011.364;4344;5656
0011.374;4344;5656
0011.382;4344;5521
0011.393;4344;5664
0011.403;4344;5521
0011.413;4344;5485
0011.421;4344;5564
0011.431;4344;5621
0011.444;4344;5564
0011.452;4344;5564
0011.462;4344;5585
0011.473;4344;5492
0011.483;4344;5492
0011.499;4344;5550
0011.512;4344;5607
0011.522;4344;5492
0011.532;4344;5528
0011.542;4344;5585
0011.553;4344;5585
0011.565;4344;5550
0011.571;4344;5550
0011.584;4344;5607
0011.592;4344;5664
0011.602;4344;5550
0011.612;4344;5664
0011.623;4344;5550
0011.633;4344;5528
0011.641;4344;5642
0011.653;4344;5642
0011.688;4344;5585
0011.701;4344;5607
0011.715;4344;5607
0011.721;4344;5492
0011.732;4344;5607
0011.742;4344;5721
0011.752;4344;5585
0011.762;4344;5728
0011.772;4344;5685
0011.781;4344;5599
0011.791;4344;5628
0011.801;4344;5599
0011.813;4344;5564
0011.822;4344;5564
0011.830;4344;5592
0011.842;4344;5592
0011.852;4344;5592
0011.861;4344;5564
0011.871;4344;5507
0011.881;4344;5564
0011.892;4344;5592
0011.902;4344;5507
0011.912;4344;5507
0011.922;4344;5471
0011.930;4344;5550
0011.941;4344;5492
0011.951;4344;5492
0011.963;4344;5550
0011.972;4344;5550
0011.982;4344;5607
0011.992;4344;5607
0012.000;4344;5550
0012.013;4344;5607
0012.021;4344;5664
0012.031;4344;5664
0012.043;4344;5550
0012.052;4344;5550
0012.062;4344;5585
0012.078;4344;5642
0012.091;4344;5585
0012.101;4344;5671
0012.111;4344;5671
0012.119;4344;5671
0012.132;4344;5585
0012.142;4344;5557
0012.152;4344;5492
0012.160;4344;5550
0012.171;4344;5550
0012.181;4344;5457
0012.191;4344;5478
0012.201;4344;5578
0012.212;4344;5578
0012.222;4344;5500
0012.230;4344;5614
0012.240;4344;5614
0012.251;4344;5614
0012.261;4344;5557
0012.271;4344;5550
0012.281;4344;5550
0012.292;4344;5535
0012.300;4344;5592
0012.312;4344;5664
0012.320;4344;5699
0012.331;4344;5542
0012.341;4344;5599
0012.351;4344;5599
0012.361;4344;5485
0012.378;4344;5628
0012.390;4344;5599
0012.400;4344;5542
0012.411;4344;5649
0012.421;4344;5585
0012.431;4344;5492
0012.441;4344;5607
0012.450;4344;5550
0012.460;4344;5535
0012.470;4344;5592
0012.480;4344;5535
0012.491;4344;5649
0012.501;4344;5592
0012.511;4344;5649
0012.519;4344;5649
0012.530;4344;5649
0012.540;4344;5592
0012.550;4344;5649
0012.560;4344;5649
0012.571;4344;5714
0012.581;4344;5607
0012.591;4344;5664
0012.608;4344;5550
0012.620;4344;5607
0012.632;4344;5550
0012.640;4344;5550
0012.651;4344;5457
0012.661;4344;5592
0012.669;4344;5478
0012.679;4344;5535
0012.690;4344;5471
0012.700;4344;5557
0012.712;4344;5592
0012.720;4344;5592
0012.731;4344;5685
0012.741;4344;5664
0012.751;4344;5564
0012.759;4344;5699
0012.772;4344;5678
0012.780;4344;5564
0012.794;4344;5564
0012.801;4344;5621
0012.817;4344;5564
0012.829;4344;5564
0012.839;4344;5528
0012.850;4344;5492
0012.860;4344;5607
0012.870;4344;5607
0012.881;4344;5492
0012.889;4344;5607
0012.901;4344;5528
0012.909;4344;5471
0012.919;4344;5492
0012.930;4344;5607
0012.942;4344;5664
0012.952;4344;5550
0012.961;4344;5550
0012.969;4344;5607
0012.979;4344;5607
0012.991;4344;5550
0012.999;4344;5664
0013.010;4344;5664
0013.022;4344;5464
0013.032;4344;5200
0013.047;4344;5649
0013.059;4344;5649
0013.071;4344;5649
0013.079;4344;5592
0013.090;4344;5592
0013.100;4344;5535
0013.108;4344;5649
0013.119;4344;5649
0013.129;4344;5592
0013.139;4344;5649
0013.152;4344;5535
0013.160;4344;5507
0013.170;4344;5592
0013.178;4344;5592
0013.191;4344;5535
0013.201;4344;5507
